dtype_f,dtype_y,method,package,n_steps,sol_relerr,grad_x_relerr,grad_A_relerr
torch.float16,torch.bfloat16,rk4,torchmpnode,2048,0.00019687860595795002,118.0,22.655176162719727
torch.float16,torch.bfloat16,rk4,torchmpnode,4096,0.0002710267841436493,147.0,28.43369483947754
torch.float16,torch.bfloat16,rk4,torchmpnode,8192,0.00027196956915735254,147.0,28.439546585083008
torch.bfloat16,torch.float16,euler,torchdiffeq,32,0.3531852075372957,0.353759765625,0.23285388946533203
torch.bfloat16,torch.float16,euler,torchdiffeq,64,0.18533434537274443,0.1846923828125,0.11988469213247299
torch.bfloat16,torch.float16,euler,torchdiffeq,128,0.09487593358339257,0.09454345703125,0.05642053857445717
torch.bfloat16,torch.float16,euler,torchdiffeq,256,0.04789926702614876,0.0487060546875,0.0825285091996193
torch.bfloat16,torch.float16,euler,torchdiffeq,512,0.024388779888807072,0.02435302734375,0.37848883867263794
torch.bfloat16,torch.float16,euler,torchdiffeq,1024,0.011940917805692093,0.01189422607421875,0.6799514293670654
torch.bfloat16,torch.float16,euler,torchdiffeq,2048,0.005911286093814803,0.005664825439453125,0.8389539122581482
torch.bfloat16,torch.float16,euler,torchdiffeq,4096,0.0028868591815974193,0.00226593017578125,0.9192883372306824
torch.bfloat16,torch.float16,euler,torchdiffeq,8192,0.001207541689732629,0.001132965087890625,0.959602952003479
torch.bfloat16,torch.float16,euler,torchmpnode,32,0.35286641725111967,0.3544921875,0.2323908656835556
torch.bfloat16,torch.float16,euler,torchmpnode,64,0.18510480439182625,0.19140625,0.11658530682325363
torch.bfloat16,torch.float16,euler,torchmpnode,128,0.09402008606315365,0.097412109375,0.05914747342467308
torch.bfloat16,torch.float16,euler,torchmpnode,256,0.049039920720778465,0.061737060546875,0.034218404442071915
torch.bfloat16,torch.float16,euler,torchmpnode,512,0.024793891722420885,0.0215301513671875,0.012489047832787037
torch.bfloat16,torch.float16,euler,torchmpnode,1024,0.01198463091380674,0.01641845703125,0.008048628456890583
torch.bfloat16,torch.float16,euler,torchmpnode,2048,0.00687160280582615,0.08721923828125,0.04264925792813301
torch.bfloat16,torch.float16,euler,torchmpnode,4096,0.0032105485944682577,0.380615234375,0.20004072785377502
torch.bfloat16,torch.float16,euler,torchmpnode,8192,0.002427724227199884,0.420166015625,0.19736631214618683
torch.bfloat16,torch.float16,rk4,torchdiffeq,32,0.002292808358295542,0.001132965087890625,0.03724784776568413
torch.bfloat16,torch.float16,rk4,torchdiffeq,64,0.001154157665409295,0.001132965087890625,0.16273821890354156
torch.bfloat16,torch.float16,rk4,torchdiffeq,128,0.0012009911496741177,0.0005650520324707031,0.16417478024959564
torch.bfloat16,torch.float16,rk4,torchdiffeq,256,0.0009035079588786304,0.0016984939575195312,0.4486415386199951
torch.bfloat16,torch.float16,rk4,torchdiffeq,512,0.0004473220576393,0.0,0.7222840189933777
torch.bfloat16,torch.float16,rk4,torchdiffeq,1024,0.00035658855119196227,0.0016984939575195312,0.8608778119087219
torch.bfloat16,torch.float16,rk4,torchdiffeq,2048,0.000270324671802663,0.0028324127197265625,0.9303877353668213
torch.bfloat16,torch.float16,rk4,torchdiffeq,4096,0.0002193275939918204,0.00226593017578125,0.9651824235916138
torch.bfloat16,torch.float16,rk4,torchdiffeq,8192,0.00021544792760387006,0.0005650520324707031,0.982588529586792
torch.bfloat16,torch.float16,rk4,torchmpnode,32,0.0028885486171741723,0.0,0.0024942189920693636
torch.bfloat16,torch.float16,rk4,torchmpnode,64,0.002058001964586288,0.0005650520324707031,0.0024380821269005537
torch.bfloat16,torch.float16,rk4,torchmpnode,128,0.002058001964586288,0.0033969879150390625,0.003329463768750429
torch.bfloat16,torch.float16,rk4,torchmpnode,256,0.002058001964586288,0.01132965087890625,0.003231982234865427
torch.bfloat16,torch.float16,rk4,torchmpnode,512,0.0019883513042247202,0.0045318603515625,0.00507408007979393
torch.bfloat16,torch.float16,rk4,torchmpnode,1024,0.0018659456500431314,0.01245880126953125,0.006211680825799704
torch.bfloat16,torch.float16,rk4,torchmpnode,2048,0.0018659456500431314,0.07928466796875,0.03675687685608864
torch.bfloat16,torch.float16,rk4,torchmpnode,4096,0.001927607549196252,0.356689453125,0.18801413476467133
torch.bfloat16,torch.float16,rk4,torchmpnode,8192,0.001953493585527919,0.420166015625,0.19670747220516205
torch.float16,torch.float16,euler,torchdiffeq,32,0.35385823117685333,0.353759765625,0.23382455110549927
torch.float16,torch.float16,euler,torchdiffeq,64,0.18586998917808686,0.1856689453125,0.11917728930711746
torch.float16,torch.float16,euler,torchdiffeq,128,0.09434934337481708,0.09454345703125,0.06121077388525009
torch.float16,torch.float16,euler,torchdiffeq,256,0.04838458902400414,0.048126220703125,0.04544484242796898
torch.float16,torch.float16,euler,torchdiffeq,512,0.02095772908187088,0.0215301513671875,0.031540486961603165
torch.float16,torch.float16,euler,torchdiffeq,1024,0.0027224605054276306,0.0016984939575195312,0.0626402422785759
torch.float16,torch.float16,euler,torchdiffeq,2048,0.07824233115747119,0.0662841796875,0.08012331277132034
torch.float16,torch.float16,euler,torchdiffeq,4096,0.44632608898338927,0.385986328125,0.16585703194141388
torch.float16,torch.float16,euler,torchdiffeq,8192,0.4202610972555605,0.420166015625,0.7424790859222412
torch.float16,torch.float16,euler,torchmpnode,32,0.35385823117685333,0.353271484375,0.2339237779378891
torch.float16,torch.float16,euler,torchmpnode,64,0.18586998917808686,0.1856689453125,0.1167285144329071
torch.float16,torch.float16,euler,torchmpnode,128,0.09434934337481708,0.095703125,0.059193916618824005
torch.float16,torch.float16,euler,torchmpnode,256,0.04838458902400414,0.0487060546875,0.03015039674937725
torch.float16,torch.float16,euler,torchmpnode,512,0.02095772908187088,0.0215301513671875,0.011681957170367241
torch.float16,torch.float16,euler,torchmpnode,1024,0.0027224605054276306,0.0016984939575195312,0.00731955049559474
torch.float16,torch.float16,euler,torchmpnode,2048,0.07824233115747119,0.069091796875,0.0686667189002037
torch.float16,torch.float16,euler,torchmpnode,4096,0.44632608898338927,0.384033203125,0.4464150369167328
torch.float16,torch.float16,euler,torchmpnode,8192,0.4202610972555605,0.420166015625,0.3893759846687317
torch.float16,torch.float16,rk4,torchdiffeq,32,0.0018700557276668962,0.00226593017578125,0.005188091192394495
torch.float16,torch.float16,rk4,torchdiffeq,64,0.002012746148383057,0.0033969879150390625,0.007796677760779858
torch.float16,torch.float16,rk4,torchdiffeq,128,0.001094553346350226,0.0005650520324707031,0.025197375565767288
torch.float16,torch.float16,rk4,torchdiffeq,256,0.001781294278652081,0.02886962890625,0.04023897275328636
torch.float16,torch.float16,rk4,torchdiffeq,512,0.0014934908970035176,0.08380126953125,0.1041872501373291
torch.float16,torch.float16,rk4,torchdiffeq,1024,0.01876050678629558,0.1002197265625,0.18516036868095398
torch.float16,torch.float16,rk4,torchdiffeq,2048,0.07023225539114378,2.236328125,0.4938083589076996
torch.float16,torch.float16,rk4,torchdiffeq,4096,0.44834045507176506,78.125,14.962273597717285
torch.float16,torch.float16,rk4,torchdiffeq,8192,0.4202610972555605,147.5,16.49278450012207
torch.float16,torch.float16,rk4,torchmpnode,32,0.0010873091912979784,0.0005650520324707031,0.0011375905014574528
torch.float16,torch.float16,rk4,torchmpnode,64,0.0016794000694250384,0.0033969879150390625,0.001976046245545149
torch.float16,torch.float16,rk4,torchmpnode,128,0.0011880605413274598,0.00226593017578125,0.0019697975367307663
torch.float16,torch.float16,rk4,torchmpnode,256,0.001946356656367082,0.0005650520324707031,0.001771130133420229
torch.float16,torch.float16,rk4,torchmpnode,512,0.0015548445153438506,0.0005650520324707031,0.0009325147257186472
torch.float16,torch.float16,rk4,torchmpnode,1024,0.01974608130431068,0.01812744140625,0.01880704239010811
torch.float16,torch.float16,rk4,torchmpnode,2048,0.07126736929556823,0.062286376953125,0.06413047760725021
torch.float16,torch.float16,rk4,torchmpnode,4096,0.44757561284371455,0.384033203125,0.44511789083480835
torch.float16,torch.float16,rk4,torchmpnode,8192,0.4202610972555605,0.420166015625,0.38967365026474
torch.bfloat16,torch.float32,euler,torchdiffeq,32,0.3530086062777826,0.3540214002132416,0.2322874218225479
torch.bfloat16,torch.float32,euler,torchdiffeq,64,0.1855530098373643,0.18474216759204865,0.11973085254430771
torch.bfloat16,torch.float32,euler,torchdiffeq,128,0.09493908951909019,0.09472411125898361,0.056546326726675034
torch.bfloat16,torch.float32,euler,torchdiffeq,256,0.047605300629969094,0.04829971119761467,0.0827118307352066
torch.bfloat16,torch.float32,euler,torchdiffeq,512,0.024050107071978712,0.024379819631576538,0.37834635376930237
torch.bfloat16,torch.float32,euler,torchdiffeq,1024,0.011833934878037937,0.011924492195248604,0.6798842549324036
torch.bfloat16,torch.float32,euler,torchdiffeq,2048,0.005872590439908929,0.005909135099500418,0.838921070098877
torch.bfloat16,torch.float32,euler,torchdiffeq,4096,0.0027879846818336753,0.0027776104398071766,0.9192720651626587
torch.bfloat16,torch.float32,euler,torchdiffeq,8192,0.001274218102189131,0.0013268479378893971,0.9595948457717896
torch.bfloat16,torch.float32,euler,torchmpnode,32,0.35288843237203776,0.35458752512931824,0.23430992662906647
torch.bfloat16,torch.float32,euler,torchmpnode,64,0.18463284192453475,0.19238519668579102,0.11739689111709595
